idProd;CatId;subCatId;Image;prodName;manufId;descrip;struct;price
11;2;5;IMG_WB_170859.png;Сапоги осенние натуральная кожа;10;Сапоги женские демисезонные из высококачественной натуральной кожи. Производитель: Дом обуви «10», г. Новороссийск ;Верх — натуральная кожа, подкладка — текстильный утеплитель, стелька — текстиль, подошва — ТПР;15000
12;2;5;IMG_WB_170906.png;Сапоги трубы демисезонные замшевые;11;Сапоги женские демисезонные замшевые. Производитель: ОАО «Твой комфорт», г. Ярославль;Верх — натуральная замша, утепленные, тракторная подошва, стелька — байка, подошва — резина;17000
13;2;3;IMG_WSd_174332.png;Босоножки «Песчаный берег» коричневые;12;Коричневая кожаная модель с открытым носком, боковой пряжкой и закрытым каблуком. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;"Верх — 100% козья кожа, подкладка — 100% кожа; подошва: 100% кожа";7500
14;2;3;IMG_WSd_185156.png;Женские босоножки «Черный кофе» со скульптурным каблуком;13;Открытый носок и ремешок со сборной пряжкой, низкий каблук и резиновая подошва гарантируют комфорт. Производитель: ЗАО «Кожевенные традиции», г. Вятка;"Верх — кожа собственного производств, подкладка — кожа; подошва: резина";5600
15;2;3;IMG_WSd_185551.png;Босоножки женские «Летний бриз»;14;Босоножки женские кожаные белые, регулируемый ремешок, закрытый каблук и кожаная подошва. Производитель: ООО «Модный силуэт», г. Кострома;Верх — натуральная кожа, подкладка — натуральная кожа, подошва — кожа;7130
16;2;4;IMG_WSho_174409.png;Демисезонные туфли натуральная кожа;14;Комфортные лаконичные лодочки, классический дизайна с современными акцентами. Производитель: ООО «Модный силуэт», г. Кострома;Верх — натуральная овечья кожа, подкладка и стелька — натуральная овечья кожа, подошва — резина;12340
17;2;4;IMG_WSho_185202.png;Туфли женские натуральная кожа с металлическими вставками;13;Стильные туфли для весеннего и летнего сезона. Производитель: ЗАО «Кожевенные традиции», г. Вятка;Верх — натуральная телячьей кожа, металлическая пряжка, подкладка и стелька— натуральная овечья кожа, подошва — резина;7757
18;2;4;IMG_WSho_185545.png;Туфли классические лодочки натуральная кожа;12;Модель из натуральной кожи, классический острый носок и изящная шпилька. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;Верх — натуральная кожа, подкладка и стелька — натуральная кожа, подошва — тунит;7550
19;2;1;IMG_WS_174110.png;Кроссовки белые с оранжевым и красным;2;Многослойный верх из кожи и текстиля. Производитель: Фабрика «2», г. Киров;Верх — 70% кожа, 30% текстиль, подкладка — текстиль, подошва — резина;9450
20;2;1;IMG_WS_185528.png;Кроссовки летние кожаные;2;Уверенность на каждом шагу. Материал обеспечивает долговечность и комфорт при носке. Производитель: Фабрика «2», г. Киров;"Верх — 87% кожа, 11% текстиль, 2% синтетика; подкладка: 100% текстиль; подошва: резина, пластик";8565
21;2;1;IMG_WS_185535.png;Кроссовки кожаные;12;Кроссовки женские из натуральной кожи. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;Верх — натуральная кожа, подкладка — кожа, подошва — полиуретан;8765
22;2;1;IMG_WS_185538.png;Кроссовки «Стиль и комфорт»;12;Кроссовки женские из натуральной кожи и синтетических материалов, сетчатые вставки. Производитель: ИП «Стиль и комфорт», г. Санкт-Петербург;"Верх — 70% кожа, 20% полиамид, 10% полиуретан; подкладка — текстиль, подошва — ТПУ";7795
23;3;1;IMG_MS_185531.png;Кроссовки для бега «Драйв»;15;Сочетание стиля, комфорта и современных технологий. Производитель: Фабрика «Азимут», г. Санкт-Петербург;Верх —  сетка, подкладка — текстиль, подошва —  резина;6550
24;3;1;IMG_MS_185532.png;Кроссовки «Азимут Бег» ;15;Универсальный выбор для повседневного использования. Производитель: Фабрика «Азимут», г. Санкт-Петербург;"Верх — 6% кожа, 29% текстиль, 15% полимерные материалы; подкладка — 100% текстиль; подошва — полимерные материалы, резина";7890
25;3;1;IMG_MS_185533.png;Кроссовки;2;Кроссовки для мужчин, идеальное сочетание стиля и комфорта. Производитель: Фабрика «2», г. Киров;"Верх — 56% кожа, 29% текстиль, 15% полимерные материалы; подкладка — 100% текстиль; подошва — полимерные материалы, резина";9567
26;3;4;IMG_MSho_190514.png;Черные туфли в классическом стиле — база для деловых образов;10;Модель выполнена из натуральной кожи, на резиновой подошве. Производитель: Дом обуви «10», г. Новороссийск ;Верх — натуральная кожа, подкладка — текстиль, стелька — натуральная кожа, подошва — резина;24569
27;3;4;IMG_MSho_190518.png;Туфли мужские светлые классика демисезонные;16;Туфли на низком каблуке кожаные;Верх — натуральная кожа, подкладка — текстиль, стелька — натуральная кожа, подошва — ТЭП;10155
28;3;4;IMG_MSho_191612.png;Туфли из натуральной кожи;16;Модель выполнена из натуральной кожи, на резиновой подошве, поддеживает классический и деловой стиль образов. Производитель: Дом обуви «Берестов», г. Москва;Верх — натуральная кожа, подкладка — натуральная кожа, стелька — натуральная кожа, подошва — резина;25625
29;3;5;IMG_MB_174349.png;Ботинки мужские демисезонные;10;Ботинки из натуральной кожи темно-коричневого и черного цвета на шнурках. Производитель: Дом обуви «Берестов», г. Москва;Верх — натуральная кожа, подкладка — текстиль, подошва — искусственный материал;21500
30;3;5;IMG_MB_191200.png;Ботинки черные из натуральной кожи;13;Ботинки представляют баланс традиций и современности. Выполнены из натуральной кожи насыщенного черного цвета. Производитель: ЗАО «Кожевенные традиции», г. Вятка;Верх — натуральная кожа, подкладка — ворсин, стелька — ворсин, подошва — тунит;14567
31;3;5;IMG_MB_191205.png;Ботинки зимние классические;10;Выбор на каждый день — натуральная кожа, натуральный мех. Производитель: Дом обуви «10», г. Новороссийск ;Верх — натуральная кожа, подкладка — натуральный мех, стелька — натуральный мех, подошва — ТЭП;15670
